detector - descriptor,Frame,lidar TTC,Camera TTC,Difference,
SHITOMASI-BRISK,Frame1,12.289100,9.666323,2.622777,
SHITOMASI-BRISK,Frame2,13.354725,10.059905,3.294820,
SHITOMASI-BRISK,Frame3,16.384452,10.076003,6.308449,
SHITOMASI-BRISK,Frame4,14.076445,9.454109,4.622337,
SHITOMASI-BRISK,Frame5,12.729945,9.964323,2.765622,
SHITOMASI-BRISK,Frame6,13.751074,10.762337,2.988737,
SHITOMASI-BRISK,Frame7,13.731432,8.818100,4.913331,
SHITOMASI-BRISK,Frame8,13.790126,8.951736,4.838390,
SHITOMASI-BRISK,Frame9,12.058994,8.863053,3.195941,
SHITOMASI-BRISK,Frame10,11.864185,10.648800,1.215385,
SHITOMASI-BRISK,Frame11,11.968197,8.766479,3.201718,
SHITOMASI-BRISK,Frame12,9.887113,8.750865,1.136248,
SHITOMASI-BRISK,Frame13,9.425037,9.779807,0.354770,
SHITOMASI-BRISK,Frame14,9.302148,8.360266,0.941882,
SHITOMASI-BRISK,Frame15,8.321200,9.692020,1.370820,
SHITOMASI-BRISK,Frame16,8.898673,8.574856,0.323817,
SHITOMASI-BRISK,Frame17,11.030114,8.417025,2.613089,
SHITOMASI-BRISK,Frame18,8.535568,9.201081,0.665513,
 , , , , ,
SHITOMASI-BRIEF,Frame1,12.289100,9.609327,2.679773,
SHITOMASI-BRIEF,Frame2,13.354725,9.392825,3.961900,
SHITOMASI-BRIEF,Frame3,16.384452,8.729978,7.654474,
SHITOMASI-BRIEF,Frame4,14.076445,9.372315,4.704130,
SHITOMASI-BRIEF,Frame5,12.729945,9.783079,2.946866,
SHITOMASI-BRIEF,Frame6,13.751074,10.247727,3.503347,
SHITOMASI-BRIEF,Frame7,13.731432,8.639783,5.091649,
SHITOMASI-BRIEF,Frame8,13.790126,9.436072,4.354054,
SHITOMASI-BRIEF,Frame9,12.058994,8.370314,3.688680,
SHITOMASI-BRIEF,Frame10,11.864185,9.173706,2.690480,
SHITOMASI-BRIEF,Frame11,11.968197,8.641123,3.327074,
SHITOMASI-BRIEF,Frame12,9.887113,7.871190,2.015923,
SHITOMASI-BRIEF,Frame13,9.425037,10.210659,0.785622,
SHITOMASI-BRIEF,Frame14,9.302148,8.360266,0.941882,
SHITOMASI-BRIEF,Frame15,8.321200,9.186746,0.865546,
SHITOMASI-BRIEF,Frame16,8.898673,8.550859,0.347815,
SHITOMASI-BRIEF,Frame17,11.030114,8.155890,2.874224,
SHITOMASI-BRIEF,Frame18,8.535568,8.864577,0.329009,
 , , , , ,
SHITOMASI-ORB,Frame1,12.289100,9.056337,3.232763,
SHITOMASI-ORB,Frame2,13.354725,9.026716,4.328009,
SHITOMASI-ORB,Frame3,16.384452,9.405618,6.978834,
SHITOMASI-ORB,Frame4,14.076445,9.354137,4.722309,
SHITOMASI-ORB,Frame5,12.729945,9.678158,3.051787,
SHITOMASI-ORB,Frame6,13.751074,10.676561,3.074513,
SHITOMASI-ORB,Frame7,13.731432,8.646120,5.085312,
SHITOMASI-ORB,Frame8,13.790126,9.416932,4.373194,
SHITOMASI-ORB,Frame9,12.058994,8.370314,3.688680,
SHITOMASI-ORB,Frame10,11.864185,10.103157,1.761028,
SHITOMASI-ORB,Frame11,11.968197,8.641123,3.327074,
SHITOMASI-ORB,Frame12,9.887113,8.307370,1.579744,
SHITOMASI-ORB,Frame13,9.425037,10.206101,0.781065,
SHITOMASI-ORB,Frame14,9.302148,8.360266,0.941882,
SHITOMASI-ORB,Frame15,8.321200,9.692020,1.370820,
SHITOMASI-ORB,Frame16,8.898673,8.688037,0.210636,
SHITOMASI-ORB,Frame17,11.030114,8.155890,2.874224,
SHITOMASI-ORB,Frame18,8.535568,8.878960,0.343392,
 , , , , ,
SHITOMASI-FREAK,Frame1,12.289100,9.666323,2.622777,
SHITOMASI-FREAK,Frame2,13.354725,10.059905,3.294820,
SHITOMASI-FREAK,Frame3,16.384452,9.200026,7.184427,
SHITOMASI-FREAK,Frame4,14.076445,9.454109,4.622337,
SHITOMASI-FREAK,Frame5,12.729945,9.912183,2.817762,
SHITOMASI-FREAK,Frame6,13.751074,11.785108,1.965966,
SHITOMASI-FREAK,Frame7,13.731432,8.961565,4.769867,
SHITOMASI-FREAK,Frame8,13.790126,9.598344,4.191781,
SHITOMASI-FREAK,Frame9,12.058994,8.915837,3.143157,
SHITOMASI-FREAK,Frame10,11.864185,10.517396,1.346789,
SHITOMASI-FREAK,Frame11,11.968197,8.666119,3.302078,
SHITOMASI-FREAK,Frame12,9.887113,8.734564,1.152549,
SHITOMASI-FREAK,Frame13,9.425037,10.355459,0.930422,
SHITOMASI-FREAK,Frame14,9.302148,8.472461,0.829687,
SHITOMASI-FREAK,Frame15,8.321200,9.932267,1.611067,
SHITOMASI-FREAK,Frame16,8.898673,8.697667,0.201006,
SHITOMASI-FREAK,Frame17,11.030114,7.697352,3.332762,
SHITOMASI-FREAK,Frame18,8.535568,9.269858,0.734290,
 , , , , ,
SHITOMASI-SIFT,Frame1,12.289100,9.056337,3.232763,
SHITOMASI-SIFT,Frame2,13.354725,8.893149,4.461576,
SHITOMASI-SIFT,Frame3,16.384452,8.767977,7.616475,
SHITOMASI-SIFT,Frame4,14.076445,9.372315,4.704130,
SHITOMASI-SIFT,Frame5,12.729945,9.783079,2.946866,
SHITOMASI-SIFT,Frame6,13.751074,10.247727,3.503347,
SHITOMASI-SIFT,Frame7,13.731432,8.646120,5.085312,
SHITOMASI-SIFT,Frame8,13.790126,9.214276,4.575850,
SHITOMASI-SIFT,Frame9,12.058994,8.631961,3.427034,
SHITOMASI-SIFT,Frame10,11.864185,9.683940,2.180245,
SHITOMASI-SIFT,Frame11,11.968197,8.794545,3.173652,
SHITOMASI-SIFT,Frame12,9.887113,8.178889,1.708224,
SHITOMASI-SIFT,Frame13,9.425037,10.340491,0.915454,
SHITOMASI-SIFT,Frame14,9.302148,8.360266,0.941882,
SHITOMASI-SIFT,Frame15,8.321200,9.692020,1.370820,
SHITOMASI-SIFT,Frame16,8.898673,8.550859,0.347815,
SHITOMASI-SIFT,Frame17,11.030114,8.155890,2.874224,
SHITOMASI-SIFT,Frame18,8.535568,8.917878,0.382310,
 , , , , ,
FAST-BRISK,Frame1,12.289100,9.400000,2.889100,
FAST-BRISK,Frame2,13.354725,9.783850,3.570875,
FAST-BRISK,Frame3,16.384452,10.178114,6.206339,
FAST-BRISK,Frame4,14.076445,10.475273,3.601173,
FAST-BRISK,Frame5,12.729945,9.526463,3.203482,
FAST-BRISK,Frame6,13.751074,10.432082,3.318992,
FAST-BRISK,Frame7,13.731432,9.976294,3.755138,
FAST-BRISK,Frame8,13.790126,10.378773,3.411353,
FAST-BRISK,Frame9,12.058994,9.700114,2.358880,
FAST-BRISK,Frame10,11.864185,10.198525,1.665661,
FAST-BRISK,Frame11,11.968197,8.872319,3.095878,
FAST-BRISK,Frame12,9.887113,9.048528,0.838586,
FAST-BRISK,Frame13,9.425037,8.838023,0.587014,
FAST-BRISK,Frame14,9.302148,8.222704,1.079444,
FAST-BRISK,Frame15,8.321200,8.785201,0.464001,
FAST-BRISK,Frame16,8.898673,7.929687,0.968987,
FAST-BRISK,Frame17,11.030114,9.251991,1.778122,
FAST-BRISK,Frame18,8.535568,9.765000,1.229432,
 , , , , ,
FAST-BRIEF,Frame1,12.289100,8.508827,3.780272,
FAST-BRIEF,Frame2,13.354725,8.212755,5.141970,
FAST-BRIEF,Frame3,16.384452,9.871834,6.512618,
FAST-BRIEF,Frame4,14.076445,9.476948,4.599497,
FAST-BRIEF,Frame5,12.729945,8.574856,4.155089,
FAST-BRIEF,Frame6,13.751074,9.476765,4.274309,
FAST-BRIEF,Frame7,13.731432,8.661178,5.070254,
FAST-BRIEF,Frame8,13.790126,10.550699,3.239427,
FAST-BRIEF,Frame9,12.058994,8.211437,3.847558,
FAST-BRIEF,Frame10,11.864185,9.375282,2.488903,
FAST-BRIEF,Frame11,11.968197,8.358685,3.609512,
FAST-BRIEF,Frame12,9.887113,8.732350,1.154763,
FAST-BRIEF,Frame13,9.425037,9.027625,0.397412,
FAST-BRIEF,Frame14,9.302148,7.187618,2.114530,
FAST-BRIEF,Frame15,8.321200,8.443254,0.122054,
FAST-BRIEF,Frame16,8.898673,8.053660,0.845014,
FAST-BRIEF,Frame17,11.030114,7.378073,3.652041,
FAST-BRIEF,Frame18,8.535568,9.307218,0.771650,
 , , , , ,
FAST-ORB,Frame1,12.289100,8.963407,3.325693,
FAST-ORB,Frame2,13.354725,8.841234,4.513491,
FAST-ORB,Frame3,16.384452,10.333630,6.050822,
FAST-ORB,Frame4,14.076445,10.055195,4.021251,
FAST-ORB,Frame5,12.729945,8.988462,3.741483,
FAST-ORB,Frame6,13.751074,10.115363,3.635711,
FAST-ORB,Frame7,13.731432,9.372315,4.359117,
FAST-ORB,Frame8,13.790126,9.729526,4.060600,
FAST-ORB,Frame9,12.058994,8.818080,3.240914,
FAST-ORB,Frame10,11.864185,9.956854,1.907331,
FAST-ORB,Frame11,11.968197,8.307493,3.660704,
FAST-ORB,Frame12,9.887113,9.031182,0.855932,
FAST-ORB,Frame13,9.425037,8.795382,0.629655,
FAST-ORB,Frame14,9.302148,7.450436,1.851712,
FAST-ORB,Frame15,8.321200,8.574856,0.253656,
FAST-ORB,Frame16,8.898673,7.929687,0.968987,
FAST-ORB,Frame17,11.030114,7.289877,3.740237,
FAST-ORB,Frame18,8.535568,9.686938,1.151370,
 , , , , ,
FAST-FREAK,Frame1,12.289100,9.245677,3.043423,
FAST-FREAK,Frame2,13.354725,9.889165,3.465560,
FAST-FREAK,Frame3,16.384452,9.871834,6.512618,
FAST-FREAK,Frame4,14.076445,9.805547,4.270898,
FAST-FREAK,Frame5,12.729945,9.158529,3.571417,
FAST-FREAK,Frame6,13.751074,10.115363,3.635711,
FAST-FREAK,Frame7,13.731432,10.020166,3.711266,
FAST-FREAK,Frame8,13.790126,10.449762,3.340364,
FAST-FREAK,Frame9,12.058994,9.166113,2.892881,
FAST-FREAK,Frame10,11.864185,10.320963,1.543222,
FAST-FREAK,Frame11,11.968197,9.088347,2.879850,
FAST-FREAK,Frame12,9.887113,8.715611,1.171502,
FAST-FREAK,Frame13,9.425037,9.161174,0.263863,
FAST-FREAK,Frame14,9.302148,8.552753,0.749395,
FAST-FREAK,Frame15,8.321200,8.957899,0.636698,
FAST-FREAK,Frame16,8.898673,8.072295,0.826378,
FAST-FREAK,Frame17,11.030114,7.998763,3.031350,
FAST-FREAK,Frame18,8.535568,9.157530,0.621962,
 , , , , ,
FAST-SIFT,Frame1,12.289100,7.905630,4.383470,
FAST-SIFT,Frame2,13.354725,8.242074,5.112651,
FAST-SIFT,Frame3,16.384452,9.499373,6.885079,
FAST-SIFT,Frame4,14.076445,9.716411,4.360035,
FAST-SIFT,Frame5,12.729945,8.222704,4.507241,
FAST-SIFT,Frame6,13.751074,9.170979,4.580095,
FAST-SIFT,Frame7,13.731432,8.201212,5.530220,
FAST-SIFT,Frame8,13.790126,10.024876,3.765249,
FAST-SIFT,Frame9,12.058994,8.222704,3.836290,
FAST-SIFT,Frame10,11.864185,8.933055,2.931130,
FAST-SIFT,Frame11,11.968197,8.307370,3.660827,
FAST-SIFT,Frame12,9.887113,9.158529,0.728585,
FAST-SIFT,Frame13,9.425037,8.416584,1.008453,
FAST-SIFT,Frame14,9.302148,7.338947,1.963200,
FAST-SIFT,Frame15,8.321200,8.079506,0.241694,
FAST-SIFT,Frame16,8.898673,7.738965,1.159709,
FAST-SIFT,Frame17,11.030114,6.306164,4.723950,
FAST-SIFT,Frame18,8.535568,9.238920,0.703352,
 , , , , ,
BRISK-BRISK,Frame1,12.289100,11.545278,0.743822,
BRISK-BRISK,Frame2,13.354725,16.065411,2.710686,
BRISK-BRISK,Frame3,16.384452,10.338044,6.046408,
BRISK-BRISK,Frame4,14.076445,10.337796,3.738649,
BRISK-BRISK,Frame5,12.729945,11.028530,1.701415,
BRISK-BRISK,Frame6,13.751074,13.609277,0.141797,
BRISK-BRISK,Frame7,13.731432,14.896513,1.165081,
BRISK-BRISK,Frame8,13.790126,13.984146,0.194021,
BRISK-BRISK,Frame9,12.058994,10.771062,1.287932,
BRISK-BRISK,Frame10,11.864185,9.487820,2.376365,
BRISK-BRISK,Frame11,11.968197,12.661806,0.693609,
BRISK-BRISK,Frame12,9.887113,11.626481,1.739367,
BRISK-BRISK,Frame13,9.425037,8.902082,0.522955,
BRISK-BRISK,Frame14,9.302148,8.879873,0.422275,
BRISK-BRISK,Frame15,8.321200,9.134091,0.812891,
BRISK-BRISK,Frame16,8.898673,10.513289,1.614616,
BRISK-BRISK,Frame17,11.030114,7.521841,3.508272,
BRISK-BRISK,Frame18,8.535568,7.937621,0.597947,
 , , , , ,
BRISK-BRIEF,Frame1,12.289100,10.637061,1.652039,
BRISK-BRIEF,Frame2,13.354725,13.579458,0.224734,
BRISK-BRIEF,Frame3,16.384452,10.118723,6.265729,
BRISK-BRIEF,Frame4,14.076445,11.200654,2.875791,
BRISK-BRIEF,Frame5,12.729945,12.855742,0.125797,
BRISK-BRIEF,Frame6,13.751074,11.955234,1.795840,
BRISK-BRIEF,Frame7,13.731432,13.940664,0.209232,
BRISK-BRIEF,Frame8,13.790126,12.680253,1.109873,
BRISK-BRIEF,Frame9,12.058994,11.574604,0.484391,
BRISK-BRIEF,Frame10,11.864185,9.262338,2.601848,
BRISK-BRIEF,Frame11,11.968197,12.612408,0.644211,
BRISK-BRIEF,Frame12,9.887113,10.324597,0.437484,
BRISK-BRIEF,Frame13,9.425037,7.829099,1.595938,
BRISK-BRIEF,Frame14,9.302148,7.953250,1.348898,
BRISK-BRIEF,Frame15,8.321200,9.594296,1.273095,
BRISK-BRIEF,Frame16,8.898673,8.627241,0.271432,
BRISK-BRIEF,Frame17,11.030114,7.964731,3.065382,
BRISK-BRIEF,Frame18,8.535568,6.869363,1.666205,
 , , , , ,
BRISK-ORB,Frame1,12.289100,11.637364,0.651736,
BRISK-ORB,Frame2,13.354725,18.665175,5.310450,
BRISK-ORB,Frame3,16.384452,11.981946,4.402507,
BRISK-ORB,Frame4,14.076445,12.041779,2.034667,
BRISK-ORB,Frame5,12.729945,11.636943,1.093002,
BRISK-ORB,Frame6,13.751074,13.717621,0.033453,
BRISK-ORB,Frame7,13.731432,13.230466,0.500966,
BRISK-ORB,Frame8,13.790126,13.093290,0.696835,
BRISK-ORB,Frame9,12.058994,11.404387,0.654607,
BRISK-ORB,Frame10,11.864185,9.187509,2.676677,
BRISK-ORB,Frame11,11.968197,12.900197,0.931999,
BRISK-ORB,Frame12,9.887113,10.324597,0.437484,
BRISK-ORB,Frame13,9.425037,8.564421,0.860616,
BRISK-ORB,Frame14,9.302148,8.557414,0.744734,
BRISK-ORB,Frame15,8.321200,9.384219,1.063018,
BRISK-ORB,Frame16,8.898673,9.264367,0.365693,
BRISK-ORB,Frame17,11.030114,7.199032,3.831082,
BRISK-ORB,Frame18,8.535568,7.700914,0.834654,
 , , , , ,
BRISK-FREAK,Frame1,12.289100,11.545278,0.743822,
BRISK-FREAK,Frame2,13.354725,18.612824,5.258099,
BRISK-FREAK,Frame3,16.384452,11.165914,5.218539,
BRISK-FREAK,Frame4,14.076445,11.112720,2.963725,
BRISK-FREAK,Frame5,12.729945,11.885627,0.844318,
BRISK-FREAK,Frame6,13.751074,13.057071,0.694003,
BRISK-FREAK,Frame7,13.731432,13.139274,0.592158,
BRISK-FREAK,Frame8,13.790126,13.139835,0.650291,
BRISK-FREAK,Frame9,12.058994,10.771062,1.287932,
BRISK-FREAK,Frame10,11.864185,8.928037,2.936148,
BRISK-FREAK,Frame11,11.968197,13.803860,1.835663,
BRISK-FREAK,Frame12,9.887113,9.737035,0.150078,
BRISK-FREAK,Frame13,9.425037,8.669217,0.755820,
BRISK-FREAK,Frame14,9.302148,8.560172,0.741976,
BRISK-FREAK,Frame15,8.321200,8.885885,0.564684,
BRISK-FREAK,Frame16,8.898673,10.037357,1.138684,
BRISK-FREAK,Frame17,11.030114,7.264216,3.765898,
BRISK-FREAK,Frame18,8.535568,8.278089,0.257479,
 , , , , ,
